ID,Q1: 您的生理性別 Gender,Q2: 你的出生西元年 your birth year,Q3: 您的星座 constellation    ,Q4: 您是哪個學院的 which college you come from,Q7: 您的性格傾向（依照您自己的觀察判斷）Personality   and  personal characters ,Q8: 您的課外活動/社團活動參與 involvement in after-class extracurricular activities,Q9: 您的學業表現 (過去以來的狀況) your academic performance level in general,Q10: 您的居住狀態 where do you live?,你主要使用的手機廠牌 Brand of your major cellurla phone,這隻手機使用多久How long you have this phone?,手機上網流量 internet connection type,Data,A: 關於手機的一些資訊 some information about cellalur phone usage [S1. FB的朋友數 number of friends you have at FB],A: 關於手機的一些資訊 some information about cellalur phone usage [S2. LINE的好友數 number of friends you have at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S3. LINE的群組數 number of groups you are in at LINE],A: 關於手機的一些資訊 some information about cellalur phone usage [S4. IG的粉絲數 number of followers at IG],A: 關於手機的一些資訊 some information about cellalur phone usage [S5. IG的追蹤中人數 number of following at IG],B: 手機使用行為 Cellular phone usage [B1. 每天用手機玩手機遊戲的時間大約幾分鐘 time (minutes) of playing game on the phone per day ],Time,B: 手機使用行為 Cellular phone usage [B2. 每天用手機看影片追劇的時間大約幾分鐘 time (minutes) of watching vedio/film/drama on the phone per day ],B: 手機使用行為 Cellular phone usage [B3: 每天用手機瀏覽新聞的時間大約幾分鐘 time (minutes) of reading news on the phone per day ],B: 手機使用行為 Cellular phone usage [B4. 一週用手機叫餐買食物飲料的次數 number of ordering food/drinks per week in average],B: 手機使用行為 Cellular phone usage [B5. 一週用手機叫車搭車的次數 number of calling taxi per week in average],B: 手機使用行為 Cellular phone usage [B6: 手機剩下%多少電力時會感到焦慮(請填0-100的數值) how many % of power left may feel nervous],"C: 手機使用習慣 tendency of using phone [C1. 我曾因長時間玩手機遊戲而眼睛酸澀、肌肉痠痛，或有其他身體不適 I have often experienced dry/sore eyes, muscle aches, or other physical discomforts from playing mobile games for a long duration.a]","C: 手機使用習慣 tendency of using phone [C2. 我常常原本沒有打算玩手機遊戲，卻會忍不住拿起手機來玩一下（滑一下） I often do not plan on playing mobile games, but cannot resist picking up my phone to play (swipe).]",C: 手機使用習慣 tendency of using phone [C3. 在過去3個月裡，我感覺需要更常玩手機遊戲，或玩更久的時間才覺得我玩夠了 I find that I am spending more time playing mobile games],"C: 手機使用習慣 tendency of using phone [C4. 如果不能玩手機遊戲，我會覺得靜不下心，感到很煩躁 If I cannot play a mobile game, I feel restless and irritable.]",總時間
132,男,2003,2. 雙魚座(2/19-3/20) Pisces,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,小米MI,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,132,953,500,113,733,383,240,132,30,30,0,0,0,3符合 agree,3符合 agree,3符合 agree,3符合 agree,157.77
133,女,2004,2. 雙魚座(2/19-3/20) Pisces,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,Google,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,133,126,104,49,150,306,180,133,60,5,0,2,20,2不符合 disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,352.21
134,男,2004,2. 雙魚座(2/19-3/20) Pisces,教育學院College of Education,1. 內向安靜 Introvert and gentle,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,134,159,270,114,134,111,60,FALSE,120,0,2,0,40,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,268.53
135,男,2004,2. 雙魚座(2/19-3/20) Pisces,管理學院College of Management,2. 中性平衡 Balance and equal,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,7. 五年以上 > 5 years and more,1. 吃到飽沒上限 unlimited data,135,600多,100多,20個,600多,800多,0,FALSE,60,10,0,2,89,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,3符合 agree,209.95
136,女,2004,2. 雙魚座(2/19-3/20) Pisces,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,136,354,158,36,285,162,0,FALSE,60,5,0,0,5,1極不符合 extremely disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,445.13
137,男,2005,2. 雙魚座(2/19-3/20) Pisces,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,137,300,150,70,333,198,2,FALSE,0,20,0,0,44,2不符合 disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,363.23
138,男,1972,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,138,100,200,50,100,100,0,FALSE,0,60,2,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,282.66
139,女,1995,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,FALSE,358,146,40,70,236,0,FALSE,30,0,0,0,19,3符合 agree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,791.29
140,女,1995,3. 牧羊座(3/21-4/20) Aries,教育學院College of Education,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,140,961,300267,50,241,267,30,FALSE,30,10,0,0,40,3符合 agree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,242.27
141,女,1996,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,小米MI,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,141,497,147,86,165,272,0,FALSE,10,0,0,0,10,1極不符合 extremely disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,473.49
142,女,1997,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,142,200,100,30,274,273,0,FALSE,120,20,0,0,15,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,801.84
143,男,1998,3. 牧羊座(3/21-4/20) Aries,理學院College of Science,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L5: 租房子 rent a house/room out of school,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,143,804,222,93,326,438,60,FALSE,60,30,0,0,15,1極不符合 extremely disagree,3符合 agree,2不符合 disagree,2不符合 disagree,244.88
144,女,1999,3. 牧羊座(3/21-4/20) Aries,藝術學院College of Arts,4. 內外雙極 In-outward polarized,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,華碩ASUS,1. 半年內 within an half year,2. 有限制不是吃到飽 limited data,FALSE,708,249,95,236,207,60,FALSE,480,5,0,0,50,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,384.57
145,男,2000,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,小米MI,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,145,256,232,36,143,337,30,FALSE,120,20,0,0,30,1極不符合 extremely disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,138.29
146,男,2000,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,2. 中性平衡 Balance and equal,3. 積極參與 highly involve,3比其他同學稍好些 above average,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,146,582,446,96,637,745,10,FALSE,180,90,5,0,20,3符合 agree,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,117.66
147,男,2000,3. 牧羊座(3/21-4/20) Aries,理學院College of Science,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,147,1118,378,59,281,529,120,FALSE,0,0,0,0,60,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,196.16
148,女,2000,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,4. 內外雙極 In-outward polarized,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L4: 學校宿舍 live in school's dorm,歐寶OPPO,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,148,32,183,60,176,561,0,FALSE,60,10,2,1,20,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,406.88
149,男,2000,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,149,618,373,110,815,1072,240,149,0,60,2,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,135.46
150,女,2000,3. 牧羊座(3/21-4/20) Aries,教育學院College of Education,4. 內外雙極 In-outward polarized,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,150,600多人,200左右,50幾個,482,932,20,FALSE,60,20,0,0,19,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,239.83
151,女,2000,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,151,300左右,200左右,50左右,180左右,145左右,120,FALSE,120,15,0,0,30,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,187.72
152,女,2001,3. 牧羊座(3/21-4/20) Aries,教育學院College of Education,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,152,164,98,41,126,176,120,FALSE,60,30,0,0,50,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,287.59
153,男,2001,3. 牧羊座(3/21-4/20) Aries,理學院College of Science,4. 內外雙極 In-outward polarized,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,153,1408,1096,173,717,685,30,FALSE,30,0,0,0,20,2不符合 disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,223.66
154,男,2001,3. 牧羊座(3/21-4/20) Aries,科技學院College of Technology and Engineering,3. 外向活潑 Outward and active,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,154,354,272,51,34,49,71,FALSE,142,5,7,0,79,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,150.37
155,男,2001,3. 牧羊座(3/21-4/20) Aries,理學院College of Science,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,華碩ASUS,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,FALSE,300,200,15,89,96,60,FALSE,30,80,0,0,40,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,169.19
156,女,2001,3. 牧羊座(3/21-4/20) Aries,其它,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,156,idk,many,manyy,840,1040,30,FALSE,300,0,0,0,20,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,518.69
157,女,2001,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,歐寶OPPO,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,157,170,140,72,104,120,0,FALSE,60,60,0,0,0,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,277.08
158,男,2001,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,1. 吃到飽沒上限 unlimited data,158,500,300,300,400,280,240,158,120,120,0,0,90,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,126.94
159,男,2002,3. 牧羊座(3/21-4/20) Aries,文學院College of Liberal Arts,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,6. 四年以上上未滿五年 > 4 years less than 5 years,3. 預付卡或臨時卡 Prepaid SIM card,FALSE,500,70,15,440,340,0,FALSE,10,0,0,0,40,4非常符合 extremely agree,3符合 agree,3符合 agree,3符合 agree,156.11
160,男,2002,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,Google Pixel,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,160,424,291,48,499,520,0,FALSE,120,60,0,0,40,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,267.11
161,女,2002,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,3. 積極參與 highly involve,4在課業上我應該算是很厲害的 excellent and outstanding,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,161,533,288,76,238,282,60,FALSE,60,20,0,0,30,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,196.8
162,男,2002,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,162,133,148,26,129,143,0,FALSE,360,0,0,0,5,2不符合 disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,276.37
163,女,2002,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,163,495,245,44,324,236,150,163,90,15,0,1,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,618.35
164,女,2002,3. 牧羊座(3/21-4/20) Aries,科技學院College of Technology and Engineering,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,164,600,250,30,680,300多,10,FALSE,30,10,0,0,15,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,117.34
165,女,2002,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,3. 外向活潑 Outward and active,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,165,288,324,121,330,430,120,FALSE,60,0,2,0,10,3符合 agree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,517.43
166,男,2002,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,5. 難以捉摸 Hart to say and unstable,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,小米MI,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,166,600,200,70,500,150,20,FALSE,50,30,0,2,30,2不符合 disagree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,162.78
167,女,2002,3. 牧羊座(3/21-4/20) Aries,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,167,430,476,91,352,183,0,FALSE,120,90,1,0,65,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,146.06
168,男,2002,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,3. 外向活潑 Outward and active,1. 從不參與  never involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,168,226,344,40,127,325,120,FALSE,180,20,0,0,20,3符合 agree,4非常符合 extremely agree,4非常符合 extremely agree,2不符合 disagree,714.34
169,女,2002,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,4. 內外雙極 In-outward polarized,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,169,330,124,44,Nope,Nope,90,FALSE,90,45,0,0,50,2不符合 disagree,4非常符合 extremely agree,2不符合 disagree,2不符合 disagree,278.46
170,女,2002,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,5. 難以捉摸 Hart to say and unstable,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L5: 租房子 rent a house/room out of school,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,170,500,500,100,790,820,600,170,120,10,0,0,60,4非常符合 extremely agree,4非常符合 extremely agree,3符合 agree,1極不符合 extremely disagree,243.79
171,男,2002,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,4. 內外雙極 In-outward polarized,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,171,587,230,103,271,393,0,FALSE,30,15,0,0,45,1極不符合 extremely disagree,3符合 agree,1極不符合 extremely disagree,1極不符合 extremely disagree,273.75
172,男,2002,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,1. 從不參與  never involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,華為HUAWEI,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,FALSE,154,82,69,無,無,30,FALSE,100,20,0,5,10,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,1極不符合 extremely disagree,195.62
173,女,2002,3. 牧羊座(3/21-4/20) Aries,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,173,492,347,124,453,301,130,173,200,50,0,0,60,3符合 agree,2不符合 disagree,2不符合 disagree,2不符合 disagree,105.62
174,男,2002,3. 牧羊座(3/21-4/20) Aries,科技學院College of Technology and Engineering,2. 中性平衡 Balance and equal,3. 積極參與 highly involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,174,191,247,111,180,442,60,FALSE,0,0,1,1,30,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,180.92
175,女,2003,3. 牧羊座(3/21-4/20) Aries,管理學院College of Management,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,1. 吃到飽沒上限 unlimited data,175,526,236,94,364,358,60,FALSE,0,10,0,0,25,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,318.29
176,女,2003,3. 牧羊座(3/21-4/20) Aries,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,176,437,138,90,303,243,350,176,100,0,0,0,10,2不符合 disagree,3符合 agree,2不符合 disagree,2不符合 disagree,531.58
177,男,2003,3. 牧羊座(3/21-4/20) Aries,文學院College of Liberal Arts,2. 中性平衡 Balance and equal,3. 積極參與 highly involve,1稍微有一點落後其他同學 below average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,蘋果APPLE/Iphone,3. 一年以上未滿兩年 > 1 year less than 2 years,1. 吃到飽沒上限 unlimited data,177,120,139,23,322,527,40,FALSE,99,120,4,1,20,2不符合 disagree,4非常符合 extremely agree,2不符合 disagree,1極不符合 extremely disagree,144.44
178,男,2003,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,3. 外向活潑 Outward and active,2. 偶而參與 occasionally involve,4在課業上我應該算是很厲害的 excellent and outstanding,L4: 學校宿舍 live in school's dorm,三星SAMSUNG,4. 二年以上未滿三年 > 2 years less than 3 years,1. 吃到飽沒上限 unlimited data,178,996,396,94,595,675,60,FALSE,30,10,1,0,25,2不符合 disagree,2不符合 disagree,1極不符合 extremely disagree,2不符合 disagree,266.6
179,女,2003,3. 牧羊座(3/21-4/20) Aries,教育學院College of Education,2. 中性平衡 Balance and equal,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,5. 三年以上未滿四年 > 3 years less than 4 years,2. 有限制不是吃到飽 limited data,FALSE,600,80,32,265,260,0,FALSE,60,20,0,0,30,3符合 agree,3符合 agree,3符合 agree,2不符合 disagree,263.44
180,男,2003,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,2跟其他同學差不多 in average and similar to others,L2: 住在自己家裡(沒有與父母住在一起) live in home without parents,蘋果APPLE/Iphone,4. 二年以上未滿三年 > 2 years less than 3 years,2. 有限制不是吃到飽 limited data,FALSE,342,104,0,201,322,840,180,1,2,15,0,20,3符合 agree,3符合 agree,2不符合 disagree,1極不符合 extremely disagree,220.96
181,男,2003,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,1. 內向安靜 Introvert and gentle,2. 偶而參與 occasionally involve,3比其他同學稍好些 above average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,1. 半年內 within an half year,2. 有限制不是吃到飽 limited data,FALSE,391,198,74,257,615,60,FALSE,180,5,0,0,20,3符合 agree,3符合 agree,2不符合 disagree,2不符合 disagree,267.63
182,女,2003,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,4. 內外雙極 In-outward polarized,1. 從不參與  never involve,1稍微有一點落後其他同學 below average,L4: 學校宿舍 live in school's dorm,蘋果APPLE/Iphone,5. 三年以上未滿四年 > 3 years less than 4 years,1. 吃到飽沒上限 unlimited data,182,121,194,20,203,210,480,182,60,20,0,0,20,3符合 agree,3符合 agree,3符合 agree,3符合 agree,227.53
183,女,2003,3. 牧羊座(3/21-4/20) Aries,我不是台師大學生 Not NTNU student,2. 中性平衡 Balance and equal,3. 積極參與 highly involve,2跟其他同學差不多 in average and similar to others,L1: 住在自己家裡(與父或母住在一起) live in home with parents,三星SAMSUNG,2. 半年以上未滿一年  > .5 year less than 1 year,1. 吃到飽沒上限 unlimited data,183,282,125,58,174,219,20,FALSE,60,15,0,0,10,2不符合 disagree,3符合 agree,3符合 agree,2不符合 disagree,353.28
